distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,totalCost,totalWaste,transportationCost
0.55,165.0,90.0,0.0,5.0,1.0,0.8374439999999868,1.0,0.5,4.859192559747308,8.127800000000008,1.0
0.55,164.0,90.0,0.0,8.0,0.98,0.8388163265305981,0.98,0.5,4.69742334965964,8.89799999999999,1.0
0.55,168.0,90.0,0.0,4.0,1.0,0.8383739999999865,1.0,0.5,5.341970710068581,8.081300000000002,1.0
0.55,169.0,90.0,0.0,13.0,1.0,0.8429379999999863,1.0,0.5,4.568556683519935,7.853100000000005,1.0
0.55,170.0,90.0,0.0,7.0,1.0,0.8302519999999867,1.0,0.5,4.669113749970439,8.487400000000001,1.0
0.55,155.0,90.0,0.0,9.0,0.98,0.8526795918367209,0.98,0.5,2.635925444551761,8.21869999999999,0.5
0.55,152.0,90.0,0.0,7.0,0.96,0.8369916666666536,0.96,0.5,3.163813449630689,9.82439999999997,0.5
0.55,170.0,90.0,0.0,8.0,1.0,0.8338519999999862,1.0,0.5,4.652941611315893,8.307400000000005,1.0
0.55,166.0,90.0,0.0,5.0,0.98,0.8538142857142718,0.98,0.5,3.9863541903940876,8.163100000000002,0.5
0.55,164.0,90.0,0.0,5.0,0.98,0.8432265306122309,0.98,0.5,2.588491142429532,8.681900000000006,0.5
0.55,166.0,90.0,0.0,3.0,0.98,0.8491979591836601,0.98,0.5,3.3062292874830863,8.389300000000006,0.5
0.55,169.0,90.0,0.0,8.0,1.0,0.8399019999999858,1.0,0.5,3.358264143108973,8.0049,0.5
0.55,166.0,90.0,0.0,7.0,1.0,0.8416939999999871,1.0,0.5,3.58495937061762,7.915300000000002,0.5
0.55,161.0,90.0,0.0,10.0,0.96,0.8218020833333203,0.96,0.5,3.2403673201512606,10.5535,0.5
0.55,164.0,90.0,0.0,8.0,1.0,0.831735999999987,1.0,0.5,2.9126435696011383,8.413200000000005,0.5
